,date,1,2,3,4,5,6,7,8,9,10,11,12
0,2011-01-23,0,0,0,0,0,0,0,0,0,0,0,0
1,2011-01-24,25,17,9,12,5,3,1,6,3,0,0,0
2,2011-01-25,27,19,10,12,5,3,1,6,3,0,0,0
3,2011-01-26,29,19,12,13,6,3,1,6,3,0,0,0
4,2011-01-27,29,19,12,13,6,3,1,6,3,0,0,0
5,2011-01-28,29,19,12,13,6,3,1,6,3,0,0,0
6,2011-01-29,29,19,12,13,6,3,1,6,3,0,0,0
7,2011-01-30,29,19,12,13,6,3,1,6,3,0,0,0
8,2011-01-31,59,31,19,18,13,10,7,11,6,1,0,0
9,2011-02-01,66,33,20,19,13,11,7,11,7,1,0,0
10,2011-02-02,67,35,20,19,13,11,7,12,7,2,0,0
11,2011-02-03,67,36,20,19,13,11,7,12,7,2,0,0
12,2011-02-04,67,36,20,19,13,11,7,12,7,2,0,0
13,2011-02-05,67,36,20,19,13,11,7,12,7,2,0,0
14,2011-02-06,67,36,20,19,13,11,7,12,7,2,0,0
15,2011-02-07,99,55,25,25,17,15,12,13,10,5,0,0
16,2011-02-08,102,57,26,25,18,15,12,13,11,5,0,0
17,2011-02-09,104,58,26,25,18,15,12,13,11,5,0,0
18,2011-02-10,104,58,26,25,20,15,12,13,11,5,0,0
19,2011-02-11,104,58,26,25,20,15,12,13,11,5,0,0
20,2011-02-12,104,58,26,25,20,15,12,13,11,5,0,0
21,2011-02-13,104,58,26,25,20,15,12,13,11,5,0,0
22,2011-02-14,129,72,37,28,35,21,14,21,13,8,0,0
23,2011-02-15,130,74,38,28,35,22,16,22,13,8,0,0
24,2011-02-16,132,74,38,28,35,22,19,22,13,8,0,0
25,2011-02-17,132,74,38,28,35,22,19,22,13,8,0,0
26,2011-02-18,132,74,38,28,35,22,19,22,13,8,0,0
27,2011-02-19,132,74,38,28,35,22,19,22,13,8,0,0
28,2011-02-20,132,74,38,28,35,22,19,22,13,8,0,0
29,2011-02-21,132,74,38,28,35,22,19,22,13,8,0,0
30,2011-02-22,156,87,48,34,40,25,20,30,18,10,1,0
31,2011-02-23,159,87,49,34,40,25,20,30,18,10,1,0
32,2011-02-24,159,88,51,34,40,25,20,30,18,10,1,0
33,2011-02-25,159,88,51,34,40,25,20,30,18,10,1,0
34,2011-02-26,159,88,51,34,40,25,20,30,18,10,1,0
35,2011-02-27,159,88,51,34,40,25,20,30,18,10,1,0
36,2011-02-28,178,97,57,37,42,31,23,35,21,13,1,0
37,2011-03-01,178,99,58,37,44,33,23,35,22,13,1,0
38,2011-03-02,181,101,58,38,44,34,23,36,23,13,1,0
39,2011-03-03,182,101,58,38,44,34,23,36,23,13,1,0
40,2011-03-04,182,101,58,38,44,34,23,36,23,13,1,0
41,2011-03-05,182,101,58,38,44,34,23,36,23,13,1,0
42,2011-03-06,182,101,58,38,44,34,23,36,23,13,1,0
43,2011-03-07,210,117,67,41,54,37,26,38,24,15,1,0
44,2011-03-08,210,118,68,41,54,37,26,38,24,15,1,0
45,2011-03-09,211,121,69,42,54,38,26,39,24,15,1,0
46,2011-03-10,212,121,69,42,55,38,26,39,24,15,1,0
47,2011-03-11,212,121,69,42,55,38,26,39,24,15,1,0
48,2011-03-12,212,121,69,42,55,38,26,39,24,15,1,0
49,2011-03-13,212,121,69,42,55,38,26,39,24,15,1,0
50,2011-03-14,231,134,83,47,65,46,26,45,27,18,1,1
51,2011-03-15,234,138,84,48,65,47,26,45,27,18,1,1
52,2011-03-16,236,138,86,49,66,47,26,45,27,18,1,1
53,2011-03-17,237,138,86,49,66,47,26,45,27,18,1,1
54,2011-03-18,237,138,86,49,66,47,26,45,27,18,1,1
55,2011-03-19,237,138,86,49,66,47,26,45,27,18,1,1
56,2011-03-20,237,138,86,49,66,47,26,45,27,18,1,1
57,2011-03-21,268,151,97,55,70,51,28,47,32,21,1,1
58,2011-03-22,270,152,97,56,71,52,29,47,33,21,1,1
59,2011-03-23,272,152,97,56,71,53,29,48,34,21,1,1
60,2011-03-24,272,152,98,56,71,53,29,48,34,21,1,1
61,2011-03-25,272,152,98,56,71,53,29,48,34,21,1,1
62,2011-03-26,272,152,98,56,71,53,29,48,34,21,1,1
63,2011-03-27,272,152,98,56,71,53,29,48,34,21,1,1
64,2011-03-28,301,159,108,62,73,54,33,50,38,24,1,1
65,2011-03-29,305,162,109,64,73,55,34,50,38,25,1,1
66,2011-03-30,305,164,110,64,74,55,34,50,38,25,1,1
67,2011-03-31,305,164,110,64,74,55,34,50,38,25,1,1
68,2011-04-01,305,164,110,64,74,55,34,51,38,25,1,1
69,2011-04-02,305,164,110,64,74,55,34,51,38,25,1,1
70,2011-04-03,305,164,110,64,74,55,34,51,38,25,1,1
71,2011-04-04,333,174,115,68,78,61,39,53,45,29,1,1
72,2011-04-05,337,175,117,69,79,61,40,53,45,30,1,1
73,2011-04-06,340,175,117,69,80,61,41,53,45,30,1,1
74,2011-04-07,340,175,117,69,80,61,41,53,45,31,1,1
75,2011-04-08,340,175,117,69,80,61,41,53,45,31,1,1
76,2011-04-09,340,175,117,69,80,61,41,53,45,31,1,1
77,2011-04-10,340,175,117,69,80,61,41,53,45,31,1,1
78,2011-04-11,372,187,127,81,88,61,47,59,48,33,1,1
79,2011-04-12,373,187,129,82,89,61,47,59,48,34,1,1
80,2011-04-13,373,188,129,82,90,61,48,60,48,35,1,1
81,2011-04-14,375,188,129,82,90,61,48,60,48,35,1,1
82,2011-04-15,375,188,129,82,90,61,48,60,48,35,1,1
